feature,importance
solar_mj_mean,3086906708012.505
daylight_hours,1638450509911.2378
temp_min,227007153130.5
months_since_start,147956567629.5
year,86996129128.12744
wind_speed_mean,55814776921.70117
hdh_total,25874112861.21393
month,19467959489.60547
humidity_mean,18246410430.04883
cdh_total,5731975739.77771
hdh_evening,1860178096.0
temp_max,1510741517.3046875
temp_mean,653074372.5986328
temp_loss,577980974.0
cdh_night,105873243.50195312
hdh_daytime,105560425.0
cdh_evening,38337571.099609375
cdh_daytime,4982120.0
hdh_night,0.0
