station_id,station_name,country,source,lat,lon,tz_hours,elevation_m,file
101,CHUNCHEON,KOR,ASOS,37.9,127.74,9.0,76.0,KOR_CHUNCHEON_101_2022.epw
105,GANGNEUNG,KOR,ASOS,37.75,128.89,9.0,26.0,KOR_GANGNEUNG_105_2022.epw
108,SEOUL,KOR,ASOS,37.57,126.97,9.0,86.0,KOR_SEOUL_108_2022.epw
112,INCHEON,KOR,ASOS,37.48,126.62,9.0,69.0,KOR_INCHEON_112_2022.epw
119,SUWON,KOR,ASOS,37.26,126.98,9.0,33.0,KOR_SUWON_119_2022.epw
131,CHEONGJU,KOR,ASOS,36.64,127.44,9.0,58.0,KOR_CHEONGJU_131_2022.epw
133,DAEJEON,KOR,ASOS,36.37,127.37,9.0,72.0,KOR_DAEJEON_133_2022.epw
143,DAEGU,KOR,ASOS,35.88,128.62,9.0,61.0,KOR_DAEGU_143_2022.epw
146,JEONJU,KOR,ASOS,35.84,127.12,9.0,61.0,KOR_JEONJU_146_2022.epw
156,GWANGJU,KOR,ASOS,35.17,126.89,9.0,72.0,KOR_GWANGJU_156_2022.epw
159,BUSAN,KOR,ASOS,35.1,129.03,9.0,70.0,KOR_BUSAN_159_2022.epw
165,MOKPO,KOR,ASOS,34.82,126.39,9.0,38.0,KOR_MOKPO_165_2022.epw
184,JEJU,KOR,ASOS,33.51,126.53,9.0,22.0,KOR_JEJU_184_2022.epw
