datetime,market_solar_mw,kepco_ppa_solar_mw,self_use_solar_mw,total_solar_mw
2022-01-01 1:00,0,0,0,0
2022-01-01 2:00,0,0,0,0
2022-01-01 3:00,0,0,0,0
2022-01-01 4:00,0,0,0,0
2022-01-01 5:00,0,0,0,0
2022-01-01 6:00,0,0,0,0
2022-01-01 7:00,0,0,0,0
2022-01-01 8:00,11,23,7,41
2022-01-01 9:00,409,897,281,1587
2022-01-01 10:00,1632,3611,1131,6374
2022-01-01 11:00,2756,6011,1882,10649
2022-01-01 12:00,3375,7452,2334,13161
2022-01-01 13:00,3678,8188,2564,14430
2022-01-01 14:00,3463,7728,2420,13611
2022-01-01 15:00,2769,6033,1889,10691
2022-01-01 16:00,1702,3685,1154,6541
2022-01-01 17:00,555,1161,363,2079
2022-01-01 18:00,83,114,36,233
2022-01-01 19:00,70,100,31,201
2022-01-01 20:00,0,0,0,0
2022-01-01 21:00,0,0,0,0
2022-01-01 22:00,0,0,0,0
2022-01-01 23:00,0,0,0,0
2022-01-02 0:00,0,0,0,0
2022-01-02 1:00,0,0,0,0
2022-01-02 2:00,0,0,0,0
2022-01-02 3:00,0,0,0,0
2022-01-02 4:00,0,0,0,0
2022-01-02 5:00,0,0,0,0
2022-01-02 6:00,0,0,0,0
2022-01-02 7:00,0,0,0,0
2022-01-02 8:00,9,18,6,33
2022-01-02 9:00,254,537,168,959
2022-01-02 10:00,921,1939,607,3467
2022-01-02 11:00,1479,3055,957,5491
2022-01-02 12:00,1959,4154,1301,7414
2022-01-02 13:00,2329,5206,1630,9165
2022-01-02 14:00,2589,6065,1899,10553
2022-01-02 15:00,2350,5619,1760,9729
2022-01-02 16:00,1580,3727,1167,6474
2022-01-02 17:00,559,1279,401,2239
2022-01-02 18:00,85,120,37,242
2022-01-02 19:00,70,101,32,203
2022-01-02 20:00,0,0,0,0
2022-01-02 21:00,0,0,0,0
2022-01-02 22:00,0,0,0,0
2022-01-02 23:00,0,0,0,0
2022-01-03 0:00,0,0,0,0
2022-01-03 1:00,0,0,0,0
2022-01-03 2:00,0,0,0,0
2022-01-03 3:00,0,0,0,0
2022-01-03 4:00,0,0,0,0
2022-01-03 5:00,0,0,0,0
2022-01-03 6:00,0,0,0,0
2022-01-03 7:00,0,0,0,0
2022-01-03 8:00,10,21,6,37
2022-01-03 9:00,403,885,277,1565
2022-01-03 10:00,1615,3550,1112,6277
2022-01-03 11:00,2752,6009,1882,10643
2022-01-03 12:00,3397,7490,2346,13233
2022-01-03 13:00,3603,7975,2497,14075
2022-01-03 14:00,3422,7605,2382,13409
2022-01-03 15:00,2852,6324,1980,11156
2022-01-03 16:00,1782,3914,1226,6922
2022-01-03 17:00,571,1239,388,2198
2022-01-03 18:00,85,118,37,240
2022-01-03 19:00,70,100,31,201
2022-01-03 20:00,0,0,0,0
2022-01-03 21:00,0,0,0,0
2022-01-03 22:00,0,0,0,0
2022-01-03 23:00,0,0,0,0
2022-01-04 0:00,0,0,0,0
2022-01-04 1:00,0,0,0,0
2022-01-04 2:00,0,0,0,0
2022-01-04 3:00,0,0,0,0
2022-01-04 4:00,0,0,0,0
2022-01-04 5:00,0,0,0,0
2022-01-04 6:00,0,0,0,0
2022-01-04 7:00,0,0,0,0
2022-01-04 8:00,8,17,5,30
2022-01-04 9:00,319,727,228,1274
2022-01-04 10:00,1342,3188,998,5528
2022-01-04 11:00,2465,5985,1874,10324
2022-01-04 12:00,3316,7807,2445,13568
2022-01-04 13:00,3699,8581,2687,14967
2022-01-04 14:00,3609,8307,2601,14517
2022-01-04 15:00,3079,7043,2206,12328
2022-01-04 16:00,2004,4563,1429,7996
2022-01-04 17:00,629,1387,434,2450
2022-01-04 18:00,85,121,38,244
2022-01-04 19:00,70,101,32,203
2022-01-04 20:00,0,0,0,0
2022-01-04 21:00,0,0,0,0
2022-01-04 22:00,0,0,0,0
2022-01-04 23:00,0,0,0,0
2022-01-05 0:00,0,0,0,0
2022-01-05 1:00,0,0,0,0
2022-01-05 2:00,0,0,0,0
2022-01-05 3:00,0,0,0,0
2022-01-05 4:00,0,0,0,0
2022-01-05 5:00,0,0,0,0
2022-01-05 6:00,0,0,0,0
2022-01-05 7:00,0,0,0,0
2022-01-05 8:00,7,15,5,27
2022-01-05 9:00,168,400,125,693
2022-01-05 10:00,615,1437,450,2502
2022-01-05 11:00,1018,2444,765,4227
2022-01-05 12:00,1382,3259,1020,5661
2022-01-05 13:00,1571,3712,1163,6446
2022-01-05 14:00,1279,3189,999,5467
2022-01-05 15:00,863,2102,658,3623
2022-01-05 16:00,446,1091,342,1879
2022-01-05 17:00,133,305,96,534
2022-01-05 18:00,67,91,29,187
2022-01-05 19:00,28,42,13,83
2022-01-05 20:00,0,0,0,0
2022-01-05 21:00,0,0,0,0
2022-01-05 22:00,0,0,0,0
2022-01-05 23:00,0,0,0,0
2022-01-06 0:00,0,0,0,0
2022-01-06 1:00,0,0,0,0
2022-01-06 2:00,0,0,0,0
2022-01-06 3:00,0,0,0,0
2022-01-06 4:00,0,0,0,0
2022-01-06 5:00,0,0,0,0
2022-01-06 6:00,0,0,0,0
2022-01-06 7:00,0,0,0,0
2022-01-06 8:00,9,19,6,34
2022-01-06 9:00,389,861,270,1520
2022-01-06 10:00,1656,3666,1148,6470
2022-01-06 11:00,2929,6568,2057,11554
2022-01-06 12:00,3655,8193,2566,14414
2022-01-06 13:00,3838,8697,2724,15259
2022-01-06 14:00,3694,8371,2621,14686
2022-01-06 15:00,3096,7019,2198,12313
2022-01-06 16:00,2046,4608,1443,8097
2022-01-06 17:00,699,1558,488,2745
2022-01-06 18:00,101,159,50,310
2022-01-06 19:00,71,102,32,205
2022-01-06 20:00,0,0,0,0
2022-01-06 21:00,0,0,0,0
2022-01-06 22:00,0,0,0,0
2022-01-06 23:00,0,0,0,0
2022-01-07 0:00,0,0,0,0
2022-01-07 1:00,0,0,0,0
2022-01-07 2:00,0,0,0,0
2022-01-07 3:00,0,0,0,0
2022-01-07 4:00,0,0,0,0
2022-01-07 5:00,0,0,0,0
2022-01-07 6:00,0,0,0,0
2022-01-07 7:00,0,0,0,0
2022-01-07 8:00,10,20,6,36
2022-01-07 9:00,411,891,279,1581
2022-01-07 10:00,1692,3729,1168,6589
2022-01-07 11:00,2947,6595,2065,11607
2022-01-07 12:00,3645,8167,2557,14369
2022-01-07 13:00,3896,8767,2745,15408
2022-01-07 14:00,3695,8357,2617,14669
2022-01-07 15:00,3139,7091,2221,12451
2022-01-07 16:00,2085,4727,1480,8292
2022-01-07 17:00,707,1602,502,2811
2022-01-07 18:00,93,135,42,270
2022-01-07 19:00,71,102,32,205
2022-01-07 20:00,0,0,0,0
2022-01-07 21:00,0,0,0,0
2022-01-07 22:00,0,0,0,0
2022-01-07 23:00,0,0,0,0
2022-01-08 0:00,0,0,0,0
2022-01-08 1:00,0,0,0,0
2022-01-08 2:00,0,0,0,0
2022-01-08 3:00,0,0,0,0
2022-01-08 4:00,0,0,0,0
2022-01-08 5:00,0,0,0,0
2022-01-08 6:00,0,0,0,0
2022-01-08 7:00,0,0,0,0
2022-01-08 8:00,10,20,6,36
2022-01-08 9:00,371,829,259,1459
2022-01-08 10:00,1404,3233,1012,5649
2022-01-08 11:00,2445,5695,1783,9923
2022-01-08 12:00,3021,6954,2178,12153
2022-01-08 13:00,3209,7194,2253,12656
2022-01-08 14:00,2922,6393,2002,11317
2022-01-08 15:00,2275,5091,1594,8960
2022-01-08 16:00,1446,3280,1027,5753
2022-01-08 17:00,517,1079,338,1934
2022-01-08 18:00,93,140,44,277
2022-01-08 19:00,71,102,32,205
2022-01-08 20:00,0,0,0,0
2022-01-08 21:00,0,0,0,0
2022-01-08 22:00,0,0,0,0
2022-01-08 23:00,0,0,0,0
