type,bias,mape,mae,rmse,cvrmse,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
temp,0.0,2.8688877872791707,57.74632199657123,110.97760581265943,5.136570774152119,1.4476300324184974,3.3342480728271044,2.2426604357603916,3.2352589871993205,2.2417791045643147,2.221032830875716,2.1753744647419038,4.374769336741946,3.4835855657514303,2.790050080900168,2.5435258758240353,3.0913800297303817
temp,-5.0,3.0546248839221706,57.99670465740095,109.51365677314107,5.068812258403167,1.7203870857139474,4.091123640316449,2.403692591140737,3.155266233369837,2.7561883700343555,3.4880090570256055,3.7559753845249224,2.7121823689748026,3.0069690286051016,2.969773935310451,3.1272585214322253,3.112131227651569
temp,-3.0,3.0685241218194794,57.99164235177189,109.69322313887027,5.077123442803579,2.0279697704019535,4.124927592323893,2.516996272403874,3.1920484052694973,2.762481006475209,3.4266872599157834,3.776934349637606,2.6676738431090614,3.006800261205009,2.9552868787375357,3.143512430132712,3.040954180158287
temp,-2.0,3.0876488373786444,58.352082321053224,110.09831654439569,5.095873089927308,2.2768819251957337,4.132426446808131,2.5588262366510426,3.2237317399620977,2.7649020016663424,3.4294327581766515,3.651121881563198,2.7652650703335144,3.040380731849226,2.949969426405373,3.1274102738177674,3.0615915982087167
temp,-1.0,3.0505232052130413,58.25673442431577,110.26228592913414,5.103462371957098,2.332641842204594,4.14025873995719,2.5267787442153824,3.260851709517516,2.76869051124794,3.397207676075238,3.209217339691133,2.8293148016084904,3.1056035999304172,2.951986942517703,3.1144479398651215,3.0309236116955827
temp,1.0,3.4384085050631272,63.06563103140512,118.00367652610402,5.461770702728058,1.5053400657603901,1.687121290550119,2.700441794376644,5.326224815106926,3.1246893679766474,2.909388770069674,2.1144048547139978,4.8699363345728015,6.04715919575437,3.4081954073338068,2.6302429302064976,3.2491347710664713
temp,2.0,3.4603369056862143,63.41827909273096,118.4217988848192,5.481123391696872,1.5589584870677966,1.667287899325041,2.6568076934956064,5.40089841856549,3.1175376324753485,2.9166311009107546,2.157109070323773,4.854252466987567,6.188688133009344,3.4074048504954493,2.6080826375312536,3.26843437690852
temp,3.0,3.463418350843866,63.55254891282923,118.73976720792187,5.495840476135623,1.5011064175218778,1.6509875565687364,2.64633754077196,5.459500246720762,3.1261833642946204,2.9617514949284987,2.1535964977097364,4.788079133127032,6.307170782382946,3.4031602973271537,2.596664791004622,3.2491603456400764
temp,5.0,3.5326112226884843,64.0329689110206,119.26333245278434,5.520073562760885,1.516390471402965,1.6355136985630216,2.628679543930649,5.531789021770061,3.134933917387995,3.1583142251023366,2.092304438205308,4.785550314080206,6.965209773037091,3.3943764915816623,2.5436525728915624,3.209596975322019
rain,0.55,2.8485712953144042,57.517233686266124,110.91425691004953,5.133638686012914,1.4706257767499946,3.3509719826983204,2.2505746641110504,3.354140057793685,2.2496783970725533,2.178075959365646,2.1428259619107903,4.388305755255682,3.319395744234602,2.7927827948038204,2.571342665436431,2.995455317292686
rain,0.8,2.8642446718333465,57.663053377558555,110.98079102156343,5.1367182007509005,1.4398189794929561,3.335097298636556,2.2562643312975124,3.259399971437921,2.260478514620243,2.1974246872471115,2.2153318442703474,4.400451116919264,3.3799042297973894,2.82668601876,2.5506138241136083,3.0309731212733615
rain,1.2,2.8704412182408365,57.71505670812979,110.9507133228177,5.135326061974796,1.4670607616784987,3.341658070840241,2.222144381301465,3.239725619109789,2.201201254147939,2.264786457344107,2.2259703457441495,4.316568095206508,3.4908603323725695,2.7647075143174793,2.5587526437890418,3.1088237605267643
rain,1.45,2.8610537474789997,57.63517767961805,110.92366210772667,5.134074003238942,1.4816926947494724,3.330671347449205,2.219645191724697,3.236908612023486,2.1764040288623083,2.319238033181965,2.194563400544082,4.24822635180719,3.490319513314156,2.7289380506840173,2.5678508922459398,3.137305564720048
solar,0.5,2.862692274023408,56.462347775534816,109.72403600898596,5.078549608802972,1.4384541612384207,3.327665114312467,2.2639685074325406,3.3019387039981525,2.096846996694001,2.477811428728855,2.177711800405511,4.181176563082405,3.5380720383392794,2.7656511988251156,2.5445639417661248,3.103712467590017
solar,0.7,2.847032980326469,56.385689533918814,109.672739764573,5.076175374938888,1.4384541612384207,3.327665114312467,2.2668984317144862,3.259690874246291,2.0510296468040092,2.4125650524663986,2.1791151914184836,4.170875955861349,3.494846140046097,2.752031485865113,2.5445639417661248,3.103712467590017
solar,1.3,2.980558823310768,60.235461617716616,114.64078476078264,5.306120097077525,1.4988542637517943,3.356408452794703,2.211331231769932,3.6795931116416427,2.2417791045643147,2.2005353548372373,2.2277435264286836,4.525235820599713,3.9480575735921253,2.86856886154847,2.593050053313824,3.0681228146342847
solar,1.5,2.9754159915032474,60.11921021900885,114.12864434170872,5.282415805661129,1.4710319349954204,3.4577588646290915,2.211331231769932,3.6795931116416427,2.2417791045643147,2.2005353548372373,2.240881292520023,4.528296942553393,3.9509175983745837,2.8529127647138925,2.5683379236832224,3.006382600465288
